stock_code,description,total_quantity,total_revenue,avg_price,n_transactions
DOT,DOTCOM POSTAGE,706,206248.77,292.13706798866855,706
22423,REGENCY CAKESTAND 3 TIER,13851,174156.54,13.983936223218734,2007
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,2.08,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,37580,104284.24,3.1161586452762924,2244
47566,PARTY BUNTING,18283,99445.23,5.797928193054738,1699
85099B,JUMBO BAG RED RETROSPOT,48371,94159.81,2.4861972498814606,2109
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.92000000001,1.46848,250
POST,POSTAGE,3150,78101.88,31.07658081705151,1126
M,Manual,6984,77750.27,234.4896518987342,316
23084,RABBIT NIGHT LIGHT,30739,66870.03,2.386401179941003,1017
22086,PAPER CHAIN KIT 50'S CHRISTMAS,19329,64875.590000000004,3.362331081081081,1184
84879,ASSORTED COLOUR BIRD ORNAMENT,36362,58927.62,1.7225745257452574,1476
79321,CHILLI LIGHTS,10302,54096.36,6.795397301349325,667
23298,SPOTTY BUNTING,8320,42513.48,5.523960138648181,1154
22386,JUMBO BAG PINK POLKADOT,21448,42401.01,2.5987337662337664,1232
21137,BLACK RECORD COVER FRAME,11651,40633.38,4.215585106382979,376
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,649.5,2
23284,DOORMAT KEEP CALM AND COME IN,5487,38133.64,8.776284153005465,732
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7483,38108.89,5.83371408045977,1392
22960,JAM MAKING SET WITH JARS,8695,37082.13,5.077669902912621,1133
